timestamp,open,high,low,close,volume
1757139120000,111.52,111.52,111.52,111.52,0.0
1757139180000,111.52,111.52,111.52,111.52,0.0
1757139240000,111.52,111.52,111.52,111.52,0.0
1757139300000,111.52,111.52,111.52,111.52,0.0
1757139360000,111.52,111.52,111.52,111.52,0.0
1757139420000,111.52,111.52,111.52,111.52,0.0
1757139480000,111.52,111.52,111.52,111.52,0.0
1757139540000,111.52,111.52,111.52,111.52,0.0
1757139600000,111.52,111.52,111.52,111.52,0.0
1757139660000,111.52,111.52,111.52,111.52,0.0
1757139720000,111.52,111.52,111.52,111.52,0.0
1757139780000,111.52,111.52,111.52,111.52,0.0
1757139840000,111.52,111.52,111.52,111.52,0.0
1757139900000,111.52,111.52,111.52,111.52,0.0
1757139960000,111.52,111.52,111.52,111.52,0.0
1757140020000,111.52,111.52,111.52,111.52,0.0
1757140080000,111.52,111.52,111.52,111.52,0.0
1757140140000,111.52,111.52,111.52,111.52,0.0
1757140200000,111.52,111.52,111.52,111.52,0.0
1757140260000,111.52,111.52,111.52,111.52,0.0
1757140320000,111.52,111.52,111.52,111.52,0.0
1757140380000,111.52,111.52,111.52,111.52,0.0
1757140440000,111.52,111.52,111.52,111.52,0.0
1757140500000,111.52,111.52,111.52,111.52,0.0
1757140560000,111.46,111.46,111.46,111.46,0.108
1757140620000,111.44,111.44,111.44,111.44,0.418
1757140680000,111.45,111.45,111.45,111.45,0.39
1757140740000,111.51,111.51,111.51,111.51,0.108
1757140800000,111.51,111.51,111.51,111.51,0.0
1757140860000,111.51,111.51,111.51,111.51,0.0
1757140920000,111.51,111.51,111.51,111.51,0.0
1757140980000,111.51,111.51,111.51,111.51,0.0
1757141040000,111.51,111.51,111.51,111.51,0.0
1757141100000,111.51,111.51,111.51,111.51,0.0
1757141160000,111.51,111.51,111.51,111.51,0.0
1757141220000,111.51,111.51,111.51,111.51,0.0
1757141280000,111.51,111.51,111.51,111.51,0.0
1757141340000,111.51,111.51,111.51,111.51,0.0
1757141400000,111.51,111.51,111.51,111.51,0.0
1757141460000,111.51,111.51,111.51,111.51,0.0
1757141520000,111.51,111.51,111.51,111.51,0.0
1757141580000,111.51,111.51,111.51,111.51,0.0
1757141640000,111.51,111.51,111.51,111.51,0.0
1757141700000,111.51,111.51,111.51,111.51,0.0
1757141760000,111.51,111.51,111.51,111.51,0.0
1757141820000,111.51,111.51,111.51,111.51,0.0
1757141880000,111.51,111.51,111.51,111.51,0.0
1757141940000,111.51,111.51,111.51,111.51,0.0
1757142000000,111.51,111.51,111.51,111.51,0.0
1757142060000,111.51,111.51,111.51,111.51,0.0
1757142120000,111.51,111.51,111.51,111.51,0.0
1757142180000,111.51,111.51,111.51,111.51,0.0
1757142240000,111.51,111.51,111.51,111.51,0.0
1757142300000,111.51,111.51,111.51,111.51,0.0
1757142360000,111.51,111.51,111.51,111.51,0.0
1757142420000,111.51,111.51,111.51,111.51,0.0
1757142480000,111.51,111.51,111.51,111.51,0.0
1757142540000,111.51,111.51,111.51,111.51,0.0
1757142600000,111.51,111.51,111.51,111.51,0.0
1757142660000,111.51,111.51,111.51,111.51,0.0
1757142720000,111.51,111.51,111.51,111.51,0.0
1757142780000,111.51,111.51,111.51,111.51,0.0
1757142840000,111.51,111.51,111.51,111.51,0.0
1757142900000,111.51,111.51,111.51,111.51,0.0
1757142960000,111.51,111.51,111.51,111.51,0.0
1757143020000,111.51,111.51,111.51,111.51,0.0
1757143080000,111.51,111.51,111.51,111.51,0.0
1757143140000,111.51,111.51,111.51,111.51,0.0
1757143200000,111.51,111.51,111.51,111.51,0.0
1757143260000,111.51,111.51,111.51,111.51,0.0
1757143320000,111.51,111.51,111.51,111.51,0.0
1757143380000,111.51,111.51,111.51,111.51,0.0
1757143440000,111.51,111.51,111.51,111.51,0.0
