timestamp,open,high,low,close,volume
1757068200000,4413.83,4417.92,4058.92,4412.59,0.1733
1757069100000,4413.65,4460.94,4058.26,4058.26,3.4039
1757070000000,4057.66,4579.98,4054.38,4412.34,10.9129
1757070900000,4412.69,4424.22,4411.59,4419.0,42.6137
1757071800000,4419.0,4423.84,4416.15,4421.31,49.0929
1757072700000,4421.34,4422.99,4417.29,4417.38,17.3228
1757073600000,4417.99,4420.99,4412.21,4418.75,12.0691
1757074500000,4418.52,4447.99,4418.52,4447.99,28.2698
1757075400000,4448.0,4480.33,4075.19,4435.04,122.0432
1757076300000,4438.38,4469.1,4428.58,4467.85,16.1859
1757077200000,4474.25,4478.55,4099.81,4460.5,18.8508
1757078100000,4458.48,4471.05,4450.55,4468.02,13.0809
1757079000000,4466.31,4473.36,4098.62,4461.06,192.6061
1757079900000,4457.16,4495.8,4438.71,4440.34,13.9767
1757080800000,4441.93,4441.93,4072.7,4400.92,11.759
1757081700000,4391.51,4391.51,4323.52,4323.52,19.404
1757082600000,4318.96,4495.8,4280.12,4292.21,171.5991
1757083500000,4290.0,4296.26,4270.94,4270.95,18.8922
1757084400000,4270.95,4495.8,3500.0,4288.2,386.6723
1757085300000,4286.55,4302.73,4285.73,4298.43,14.9369
1757086200000,4297.01,4304.06,4278.5,4304.06,15.3518
1757087100000,4300.78,4300.78,4278.41,4280.15,17.3247
1757088000000,4282.32,4295.0,3460.59,4293.82,9.6996
1757088900000,4295.11,4495.8,4279.17,4287.81,11.338
1757089800000,4288.18,4300.25,4286.22,4298.47,15.399
1757090700000,4298.87,4302.1,4289.34,4295.87,7.0825
1757091600000,4296.66,4495.8,4282.33,4290.76,67.0327
1757092500000,4290.33,4495.8,4286.06,4286.06,73.0293
1757093400000,4284.62,4286.39,4273.0,4279.52,24.2916
1757094300000,4277.66,4325.49,4277.66,4289.66,163.5039
1757095200000,4290.76,4301.88,3946.85,4286.04,48.4382
1757096100000,4286.04,4298.37,4286.03,4298.37,21.524
1757097000000,4298.21,4306.74,4298.15,4305.55,18.2585
1757097900000,4307.65,4316.83,4307.65,4315.08,26.7906
1757098800000,4313.15,4319.69,3658.7,4318.64,12.4774
1757099700000,4319.81,4330.98,4319.81,4329.82,9.2694
1757100600000,4329.71,4612.48,4317.09,4318.87,51.4593
1757101500000,4320.77,4328.73,4320.77,4328.47,26.7603
1757102400000,4334.44,4335.75,4322.74,4329.9,18.4055
1757103300000,4329.83,4330.99,4323.3,4327.74,4.6147
1757104200000,4327.84,4341.92,4327.0,4339.27,18.3447
1757105100000,4338.6,4338.85,4332.97,4338.34,9.0949
1757106000000,4338.34,4338.79,4323.6,4332.6,30.1041
1757106900000,4332.59,4333.52,4296.95,4301.01,44.5496
1757107800000,4300.71,4795.44,4175.16,4313.07,33.96
1757108700000,4309.74,4309.74,4294.43,4298.44,17.7953
1757109600000,4298.39,4307.11,3826.39,4303.6,29.4413
1757110500000,4304.61,4305.22,4299.3,4302.42,7.0406
1757111400000,4303.43,4317.06,3826.39,4316.54,32.2037
1757112300000,4316.31,4319.58,3826.39,4313.0,17.8541
1757113200000,4313.3,4318.72,4311.87,4313.03,3.9137
1757114100000,4311.5,4315.81,4308.72,4314.02,15.491
1757115000000,4311.83,4312.55,4306.32,4309.9,21.155
1757115900000,4308.47,4308.47,4305.04,4306.98,18.3157
1757116800000,4306.99,4308.7,4303.64,4305.11,8.0263
1757117700000,4305.56,4317.17,4303.02,4315.26,28.9741
1757118600000,4317.66,4328.89,4315.6,4325.99,36.1623
1757119500000,4324.85,4794.43,4319.61,4324.0,9.6846
1757120400000,4323.01,4324.19,4316.92,4320.31,34.1905
1757121300000,4324.14,4324.53,4315.56,4316.49,27.6602
1757122200000,4315.1,4794.43,4312.72,4320.28,25.5331
1757123100000,4320.98,4794.43,4317.23,4318.18,11.6698
1757124000000,4319.5,4323.0,4307.51,4311.79,8.5801
1757124900000,4308.71,4311.29,4305.4,4307.79,36.6791
1757125800000,4309.65,4314.94,3344.99,4312.44,27.205
1757126700000,4312.39,5170.45,4312.39,4321.86,22.5091
1757127600000,4322.34,4323.36,4317.62,4318.93,13.3926
1757128500000,4318.32,4323.87,4318.31,4322.98,29.8814
1757129400000,4321.99,4321.99,4316.86,4320.55,29.4573
1757130300000,4321.17,4321.17,4316.89,4319.77,17.8919
1757131200000,4320.3,4320.31,4311.26,4311.26,13.2688
1757132100000,4311.56,5169.45,4308.11,4309.56,18.7543
1757133000000,4308.41,4310.09,4303.17,4306.13,26.7876
1757133900000,4307.4,4311.54,4305.64,4309.22,16.5281
1757134800000,4309.25,4312.47,4306.19,4311.21,21.6947
1757135700000,4309.91,4309.91,3150.53,4297.15,6.3788
1757136600000,4298.19,4300.62,4293.79,4296.81,32.53
1757137500000,4296.29,4297.03,4291.11,4295.57,31.4854
1757138400000,4295.65,4301.06,4292.95,4300.88,17.7029
1757139300000,4301.08,4302.66,4296.78,4301.98,13.1364
1757140200000,4302.13,4307.03,4302.13,4302.9,15.9583
1757141100000,4303.1,4305.04,4300.58,4302.33,10.0662
1757142000000,4301.79,4308.15,4300.58,4308.15,11.1171
1757142900000,4306.91,4306.91,4303.27,4305.3,5.9529
1757143800000,4305.37,4308.9,4303.42,4308.9,21.5291
1757144700000,4308.56,4312.87,4308.1,4312.27,18.9678
1757145600000,4313.31,4315.05,4306.19,4308.35,10.6848
1757146500000,4307.13,4310.12,4305.87,4307.18,7.961
1757147400000,4307.89,4313.14,4307.88,4311.63,35.4673
1757148300000,4311.65,4313.34,4309.12,4311.14,3.2587
1757149200000,4311.13,4311.13,4296.74,4297.83,13.9487
1757150100000,4298.61,4300.59,4293.42,4293.42,10.2872
1757151000000,4293.16,4336.11,4293.16,4298.03,31.5677
1757151900000,4298.45,4300.04,4292.69,4292.69,10.4278
1757152800000,4293.96,4296.99,900.0,4295.14,25.4199
1757153700000,4294.32,4296.18,4289.64,4293.8,4.2672
1757154600000,4294.13,4301.75,4209.94,4301.75,51.6211
1757155500000,4303.42,4303.42,4297.3,4300.73,20.1601
1757156400000,4301.47,4301.47,4294.4,4295.6,29.1138
1757157300000,4296.18,5406.8,4291.0,4296.63,5.5839
1757158200000,4296.68,4296.69,4290.93,4294.92,16.951
1757159100000,4295.12,4405.18,3951.19,4299.89,67.3592
1757160000000,4299.62,4306.72,3961.23,4303.42,29.0456
1757160900000,4302.55,4303.96,4298.52,4298.52,4.6483
1757161800000,4298.32,4300.4,4292.23,4295.17,27.8513
1757162700000,4297.06,4301.99,4295.6,4299.21,13.4128
1757163600000,4298.25,4302.32,4297.03,4299.99,54.104
1757164500000,4298.82,4301.43,4297.69,4299.85,21.2191
1757165400000,4298.88,4298.88,4290.99,4292.83,27.1312
1757166300000,4293.23,4294.15,4287.42,4293.4,25.5914
1757167200000,4292.89,4300.39,4292.01,4295.33,6.8047
1757168100000,4295.88,4300.03,4294.83,4297.42,22.9097
1757169000000,4297.42,4727.78,4292.9,4300.27,98.2964
