timestamp,open,high,low,close,volume
1757066400000,113.09,113.09,112.0,112.7,12.2
1757070000000,112.85,113.06,112.85,112.87,101.396
1757073600000,112.85,114.08,112.85,114.06,51.337
1757077200000,114.15,115.0,113.95,114.71,43.291
1757080800000,114.77,114.77,111.51,111.86,333.698
1757084400000,112.04,112.85,111.94,112.34,50.361
1757088000000,112.11,112.75,112.11,112.75,410.805
1757091600000,112.58,112.58,111.94,112.48,76.428
1757095200000,112.41,113.11,112.31,113.06,108.565
1757098800000,113.02,113.19,112.97,113.19,59.114
1757102400000,113.26,113.29,113.09,113.25,24.633
1757106000000,113.28,113.28,112.44,112.44,1.768
1757109600000,112.12,112.41,112.04,112.4,301.689
1757113200000,112.0,112.16,111.94,112.15,34.516
1757116800000,111.99,112.31,111.95,112.28,319.31
1757120400000,112.19,112.49,112.18,112.46,22.221
1757124000000,112.46,112.49,112.11,112.29,36.53
1757127600000,112.34,112.4,112.15,112.21,327.212
1757131200000,112.08,112.08,111.53,111.61,27.765
1757134800000,111.56,111.6,111.37,111.42,74.512
1757138400000,111.33,111.49,111.33,111.46,626.239
1757142000000,111.41,111.65,111.4,111.63,84.097
1757145600000,111.64,111.77,111.61,111.74,976.929
1757149200000,111.74,111.75,111.56,111.57,2730.246
1757152800000,111.45,111.61,111.23,111.59,242.19
1757156400000,111.48,111.59,111.36,111.56,59.745
1757160000000,111.61,111.76,111.47,111.57,38.642
1757163600000,111.45,111.59,111.31,111.49,137.997
1757167200000,111.56,111.7,111.56,111.67,255.61
