timestamp,value_usdc,cash,qty_LTCUSDC
2025-04-03 04:30:00+00:00,300.0,300.0,0.0
2025-04-03 04:45:00+00:00,300.0,300.0,0.0
2025-04-03 05:00:00+00:00,300.0,300.0,0.0
2025-04-03 05:15:00+00:00,300.0,0.0,3.5825173155003585
2025-04-03 05:30:00+00:00,299.820874134225,0.0,3.5825173155003585
2025-04-03 05:45:00+00:00,299.35514688320995,0.0,3.5825173155003585
2025-04-03 06:00:00+00:00,299.78504896107,0.0,3.5825173155003585
2025-04-03 06:15:00+00:00,299.39097205636494,0.0,3.5825173155003585
2025-04-03 06:30:00+00:00,299.60592309529494,0.0,3.5825173155003585
2025-04-03 06:45:00+00:00,299.2834965369,0.0,3.5825173155003585
2025-04-03 07:00:00+00:00,299.42679722951993,0.0,3.5825173155003585
2025-04-03 07:15:00+00:00,300.14330069262,0.0,3.5825173155003585
2025-04-03 07:30:00+00:00,298.8177692858849,0.0,3.5825173155003585
2025-04-03 07:45:00+00:00,299.49844757582997,0.0,3.5825173155003585
2025-04-03 08:00:00+00:00,299.85669930738004,0.0,3.5825173155003585
2025-04-03 08:15:00+00:00,299.49844757582997,0.0,3.5825173155003585
2025-04-03 08:30:00+00:00,299.85669930738004,0.0,3.5825173155003585
2025-04-03 08:45:00+00:00,301.07475519465015,301.07475519465015,0.0
2025-04-03 09:00:00+00:00,301.07475519465015,301.07475519465015,0.0
2025-04-03 09:15:00+00:00,301.07475519465015,301.07475519465015,0.0
2025-04-03 09:30:00+00:00,301.07475519465015,301.07475519465015,0.0
2025-04-03 09:45:00+00:00,301.07475519465015,301.07475519465015,0.0
2025-04-03 10:00:00+00:00,301.07475519465015,301.07475519465015,0.0
2025-04-03 10:15:00+00:00,301.07475519465015,0.0,3.631344291335788
2025-04-03 10:30:00+00:00,300.1669191218162,0.0,3.631344291335788
2025-04-03 10:45:00+00:00,297.7339184466212,0.0,3.631344291335788
2025-04-03 11:00:00+00:00,299.5859040352025,0.0,3.631344291335788
2025-04-03 11:15:00+00:00,298.56912763362845,0.0,3.631344291335788
2025-04-03 11:30:00+00:00,299.6948443639426,0.0,3.631344291335788
2025-04-03 11:45:00+00:00,300.31217289346966,0.0,3.631344291335788
2025-04-03 12:00:00+00:00,300.05797879307613,300.05797879307613,0.0
2025-04-03 12:15:00+00:00,300.05797879307613,300.05797879307613,0.0
2025-04-03 12:30:00+00:00,300.05797879307613,0.0,3.688028254585498
2025-04-03 12:45:00+00:00,296.84939421158674,0.0,3.688028254585498
2025-04-03 13:00:00+00:00,296.0749082781238,0.0,3.688028254585498
2025-04-03 13:15:00+00:00,298.4721266436044,0.0,3.688028254585498
2025-04-03 13:30:00+00:00,300.4636619010805,300.4636619010805,0.0
2025-04-03 13:45:00+00:00,300.4636619010805,300.4636619010805,0.0
2025-04-03 14:00:00+00:00,300.4636619010805,0.0,3.696194635269781
2025-04-03 14:15:00+00:00,302.9401123067112,0.0,3.696194635269781
2025-04-03 14:30:00+00:00,300.05708049120085,0.0,3.696194635269781
2025-04-03 14:45:00+00:00,298.319869012624,0.0,3.696194635269781
2025-04-03 15:00:00+00:00,300.7593574719021,0.0,3.696194635269781
2025-04-03 15:15:00+00:00,301.498596398956,0.0,3.696194635269781
2025-04-03 15:30:00+00:00,303.8641609655287,0.0,3.696194635269781
2025-04-03 15:45:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 16:00:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 16:15:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 16:30:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 16:45:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 17:00:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 17:15:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 17:30:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 17:45:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 18:00:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 18:15:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 18:30:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 18:45:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 19:00:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 19:15:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 19:30:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 19:45:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 20:00:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 20:15:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 20:30:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 20:45:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 21:00:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 21:15:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 21:30:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 21:45:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 22:00:00+00:00,302.53353089683156,302.53353089683156,0.0
2025-04-03 22:15:00+00:00,302.53353089683156,0.0,3.649819410023303
2025-04-03 22:30:00+00:00,302.20504714992944,0.0,3.649819410023303
2025-04-03 22:45:00+00:00,302.75252006143296,0.0,3.649819410023303
2025-04-03 23:00:00+00:00,302.8985128378339,0.0,3.649819410023303
