timestamp,value_usdc,cash,qty_BTCUSDC,action,size,q10,q50,q90,uncertainty,rsi,adx,bb_width
2025-08-31 07:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.004194327803187112,0.05920805442868177,0.12261043666055065,0.12680476446373776,43.50714254737874,27.208592317077827,0.009534669479486243
2025-08-31 07:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.004197196930266475,0.05920805442868177,0.12261330578763001,0.12681050271789648,47.083799907071096,26.652142485648294,0.00912906776432537
2025-08-31 07:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.004088827472886664,0.05920805442868177,0.1225049363302502,0.12659376380313686,44.58916041788787,26.176023013592193,0.008694552574402126
2025-08-31 08:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.004057762043289628,0.05920805442868177,0.12247387090065316,0.1265316329439428,49.91583360451739,25.046589498258932,0.007674315320797672
2025-08-31 08:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0028384134339148465,0.059530491487794726,0.1218993964095043,0.12473780984341915,52.37739065797544,23.422934928642082,0.0069051276060537094
2025-08-31 08:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.003047815309075677,0.05913972437116989,0.12132726405141546,0.12437507936049114,56.14430027973681,22.60004381406251,0.005588490214769149
2025-08-31 08:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.002913687650627772,0.05913972437116989,0.12119313639296755,0.12410682404359533,56.56615987693739,22.08758189175,0.004605925853997048
2025-08-31 09:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.003213444486609471,0.05913972437116989,0.12149289322894925,0.12470633771555872,58.1272795076854,22.151360383610456,0.004754322193675077
2025-08-31 09:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.003425319696766349,0.05913972437116989,0.12170476843910613,0.12513008813587248,50.91637248630689,21.45215924046827,0.004835348103128086
2025-08-31 09:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.003608663796219977,0.05923223271524171,0.1220731292267034,0.12568179302292337,43.57407095655238,20.71316990427153,0.0048588636036941855
2025-08-31 09:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.002671938805404686,0.06024902891992279,0.12316999664525026,0.12584193545065495,37.59478918340914,21.492583748031045,0.005353737714267878
2025-08-31 10:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0027587555738903674,0.06024902891992279,0.12325681341373594,0.1260155689876263,35.73013732104178,22.55942876347933,0.005990518835862329
2025-08-31 10:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.002671938805404686,0.06024902891992279,0.12316999664525026,0.12584193545065495,36.4664614449337,23.610447023165168,0.006345553077040228
2025-08-31 10:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.002893429484447166,0.06024902891992279,0.12339148732429274,0.1262849168087399,34.71437133492111,24.561783644755504,0.007001738382795735
2025-08-31 10:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0037389634134972205,0.05923223271524171,0.12220342884398064,0.12594239225747786,42.78662045215643,24.234060039873814,0.007138930206350348
2025-08-31 11:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0037389634134972205,0.05923223271524171,0.12220342884398064,0.12594239225747786,41.26197571263636,23.929745263912245,0.007325888464974628
2025-08-31 11:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.003586285019008567,0.05951958502028715,0.12262545505958286,0.12621174007859143,42.08385366848296,24.63536840794648,0.00739796884504162
2025-08-31 11:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0035360566155971246,0.05951958502028715,0.12257522665617142,0.12611128327176854,37.19476690799475,25.191911984527376,0.00787590938656202
2025-08-31 11:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0033979649373044735,0.05951958502028715,0.12243713497787877,0.12583509991518324,37.762345195327896,25.708702448495355,0.008256077075751015
2025-08-31 12:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0035360566155971246,0.05951958502028715,0.12257522665617142,0.12611128327176854,35.88579356319225,26.531341393691324,0.008672411206866668
2025-08-31 12:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0028555403284349773,0.05969035279913587,0.12223624592670672,0.1250917862551417,39.60275870150972,27.301764992753476,0.008913258512946824
2025-08-31 12:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0028555403284349773,0.05969035279913587,0.12223624592670672,0.1250917862551417,38.97415625099866,27.357458294724808,0.00907320523200812
2025-08-31 12:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0023853239872352328,0.05969035279913587,0.12176602958550697,0.1241513535727422,36.442570223659445,27.77724990619286,0.00938495204968953
2025-08-31 13:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0009317163956512192,0.060707149003816976,0.12234601440328517,0.12327773079893639,33.33495306685608,28.765697025070438,0.009665375303416369
2025-08-31 13:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0018104209220396739,0.05969035279913587,0.12119112652031142,0.12300154744235109,38.15617902068938,29.226128656553247,0.009473867831995083
2025-08-31 13:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0022859524693941424,0.06005712879673761,0.12240021006286936,0.1246861625322635,42.65025288172416,29.65367231435871,0.008661104176776763
2025-08-31 13:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0013636444687138774,0.06058090349449753,0.12252545145770893,0.1238890959264228,44.84383790823065,29.379439935618528,0.007491300721227086
2025-08-31 14:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0018952931275645346,0.06058090349449753,0.1230571001165596,0.12495239324412413,40.655565598978626,29.472954891510405,0.005683255974873025
2025-08-31 14:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0019550141999147633,0.05994535779557403,0.12184572979106281,0.12380074399097757,43.95767290498001,29.55979020769572,0.004059818408751955
2025-08-31 14:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,0.0007642401508528157,0.06094438819032494,0.12112453622979706,0.12036029607894425,47.388990233465876,28.41771493776636,0.0031884886766813526
2025-08-31 14:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,0.0011270236220730645,0.06118813316331714,0.12124924270456122,0.12012221908248816,48.72124434070479,27.357216472831958,0.0031078537365066294
2025-08-31 15:00:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,0.00015512268663021161,0.06118813316331714,0.12222114364000408,0.12206602095337388,48.58975242373165,26.216222593610944,0.0031401112509048443
2025-08-31 15:15:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0010181437634790153,0.06118813316331714,0.1233944100901133,0.12441255385359232,53.962657743310096,25.15672827719143,0.0034134484177777377
2025-08-31 15:30:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0018758113576055058,0.061135073900163595,0.1241459591579327,0.1260217705155382,60.44085368807015,25.10786356492701,0.004279864872179674
2025-08-31 15:45:00+00:00,1000.0,1000.0,0.0,HOLD,0.0,-0.0018760366211020424,0.06147022920806067,0.12481649503722338,0.12669253165832542,63.99700215691293,25.813497868365495,0.005288204583047629
