timestamp,value_usdc,cash,qty_BTCUSDC,action,entropy,adx,exp_ret
2025-08-23 03:20:00+00:00,1000.0,1000.0,0.0,HOLD,-20526.5919710343,18.365137494840184,-0.00017421673742304172
2025-08-23 03:21:00+00:00,1000.0,1000.0,0.0,HOLD,-20529.714128905922,19.6558458374601,-0.00015897450342819823
2025-08-23 03:22:00+00:00,1000.0,1000.0,0.0,HOLD,-20522.296804245525,20.901142875793887,-0.00012861554171846216
2025-08-23 03:23:00+00:00,1000.0,1000.0,0.0,HOLD,-20502.09831372256,19.814442978451186,-7.015261680912098e-05
2025-08-23 03:24:00+00:00,1000.0,1000.0,0.0,HOLD,-20502.09831372256,20.390029429143116,-7.644103066214057e-05
2025-08-23 03:25:00+00:00,1000.0,1000.0,0.0,HOLD,-20491.3239390493,23.50453127026379,-0.00012146167037939282
2025-08-23 03:26:00+00:00,1000.0,1000.0,0.0,HOLD,-20455.440026061668,28.15558509269581,-5.043300118373112e-05
2025-08-23 03:27:00+00:00,1000.0,1000.0,0.0,HOLD,-20455.440026061668,32.28068856339119,-6.131556262156441e-05
2025-08-23 03:28:00+00:00,1000.0,1000.0,0.0,HOLD,-20449.50400339193,35.251213895990645,-4.907379051696445e-05
2025-08-23 03:29:00+00:00,1000.0,1000.0,0.0,HOLD,-20445.27232911306,37.61973632013381,-4.2272470096606354e-05
2025-08-23 03:30:00+00:00,1000.0,1000.0,0.0,HOLD,-20470.634585694635,40.96198854936199,-6.734038680996312e-05
2025-08-23 03:31:00+00:00,1000.0,1000.0,0.0,HOLD,-20470.634585694635,42.675614018857075,-8.089258470470316e-05
2025-08-23 03:32:00+00:00,1000.0,1000.0,0.0,HOLD,-20461.3832670721,45.338483675616956,-0.000106551469889967
2025-08-23 03:33:00+00:00,1000.0,1000.0,0.0,HOLD,-20458.847579633013,48.24854635535341,-7.420699315510034e-05
2025-08-23 03:34:00+00:00,1000.0,1000.0,0.0,HOLD,-20458.00290139411,48.597914625261105,-6.713649968824436e-05
2025-08-23 03:35:00+00:00,1000.0,1000.0,0.0,HOLD,-20483.83203202665,47.587987717667765,-5.611090446734262e-05
2025-08-23 03:36:00+00:00,1000.0,1000.0,0.0,HOLD,-20491.469300182318,46.61818059510345,-8.123979719691575e-05
2025-08-23 03:37:00+00:00,1000.0,1000.0,0.0,HOLD,-20491.469300182318,48.772236970029,-8.452680439582516e-05
2025-08-23 03:38:00+00:00,1000.0,1000.0,0.0,HOLD,-20501.052022660206,50.25627124280067,-8.106242075622589e-05
2025-08-23 03:39:00+00:00,1000.0,1000.0,0.0,HOLD,-20501.052022660206,49.5715517383574,-8.326681507573997e-05
2025-08-23 03:40:00+00:00,1000.0,1000.0,0.0,HOLD,-20520.372227262695,49.39646802895975,-0.00011220768955233861
2025-08-23 03:41:00+00:00,1000.0,1000.0,0.0,HOLD,-20569.237787649887,49.5513276494703,-8.122808741062568e-05
2025-08-23 03:42:00+00:00,1000.0,1000.0,0.0,HOLD,-20579.615486627972,49.457794821861874,-6.93867940193581e-05
2025-08-23 03:43:00+00:00,1000.0,1000.0,0.0,HOLD,-20570.032764150084,51.342155203911524,-9.605884108192937e-05
2025-08-23 03:44:00+00:00,1000.0,1000.0,0.0,HOLD,-20560.781445527547,53.528354851220044,-0.00013694433874701547
2025-08-23 03:45:00+00:00,1000.0,1000.0,0.0,HOLD,-20531.87851844717,57.02684307456735,-7.681867834139743e-05
2025-08-23 03:46:00+00:00,1000.0,1000.0,0.0,HOLD,-20506.04938781463,56.955394838708635,-2.1408038161221703e-05
2025-08-23 03:47:00+00:00,1000.0,1000.0,0.0,HOLD,-20543.014601387866,56.23489496409161,-7.75297949422843e-05
2025-08-23 03:48:00+00:00,1000.0,1000.0,0.0,HOLD,-20544.67835359344,57.373274682085174,-7.373418723940276e-05
2025-08-23 03:49:00+00:00,1000.0,1000.0,0.0,HOLD,-20543.014601387866,57.40856522512291,-4.1231881212957875e-05
2025-08-23 03:50:00+00:00,1000.0,1000.0,0.0,HOLD,-20525.82236284322,55.78243135786137,5.611336598342688e-06
2025-08-23 03:51:00+00:00,1000.0,1000.0,0.0,HOLD,-20525.82236284322,52.38556116739687,3.687507491643842e-05
2025-08-23 03:52:00+00:00,1000.0,1000.0,0.0,HOLD,-20550.3896429246,49.0547604259264,4.067636774385903e-06
2025-08-23 03:53:00+00:00,1000.0,1000.0,0.0,HOLD,-20552.848371630374,46.35702782476034,-7.595131483786865e-06
2025-08-23 03:54:00+00:00,1000.0,1000.0,0.0,HOLD,-20559.64096154714,43.84234680955196,6.0921895942246425e-06
2025-08-23 03:55:00+00:00,1000.0,1000.0,0.0,HOLD,-20559.64096154714,41.30621499744895,3.0324962869105265e-05
2025-08-23 03:56:00+00:00,1000.0,1000.0,0.0,HOLD,-20559.64096154714,39.20672183282166,4.391785627557391e-05
2025-08-23 03:57:00+00:00,1000.0,1000.0,0.0,HOLD,-20587.85639925767,36.059048606702405,1.3111550635159302e-05
2025-08-23 03:58:00+00:00,1000.0,1000.0,0.0,HOLD,-20577.83282402401,33.255554229544096,-2.6035595971890156e-05
2025-08-23 03:59:00+00:00,1000.0,1000.0,0.0,HOLD,-20577.83282402401,30.8267866511238,-2.3710752894247653e-05
2025-08-23 04:00:00+00:00,1000.0,1000.0,0.0,HOLD,-20605.916677137717,30.105055204712937,-2.1535373712273665e-05
2025-08-23 04:01:00+00:00,1000.0,1000.0,0.0,HOLD,-20577.83282402401,30.62638247190976,2.6091435243934906e-05
