timestamp,value_usdc,z,prob,action,fees_usdc_acum,long_ops_acum,short_ops_acum
2021-01-04 00:00:00+00:00,300.0,-0.7827205725635232,0.4931246345105212,HOLD,0.0,0,0
2021-01-04 01:00:00+00:00,300.0,-0.2251332823077921,0.46044426693429363,HOLD,0.0,0,0
2021-01-04 02:00:00+00:00,300.0,0.44060608800005746,0.4510992639769423,HOLD,0.0,0,0
2021-01-04 03:00:00+00:00,300.0,-1.0641261032833227,0.45451325381908836,HOLD,0.0,0,0
2021-01-04 04:00:00+00:00,300.0,-1.3039004173207402,0.46632686680178703,HOLD,0.0,0,0
2021-01-04 05:00:00+00:00,300.0,-1.3910245739830056,0.4918251849101942,HOLD,0.0,0,0
2021-01-04 06:00:00+00:00,300.0,-1.0832488559000257,0.49381433419794346,HOLD,0.0,0,0
2021-01-04 07:00:00+00:00,300.0,-0.36518370607887973,0.6370007077784022,HOLD,0.0,0,0
2021-01-04 08:00:00+00:00,300.0,1.3022568386766993,0.5461694553734482,HOLD,0.0,0,0
2021-01-04 09:00:00+00:00,300.0,1.0830379581102727,0.6340342779363796,HOLD,0.0,0,0
2021-01-04 10:00:00+00:00,300.0,-0.4523628652130343,0.709100363346964,HOLD,0.0,0,0
2021-01-04 11:00:00+00:00,300.0,-0.2747493734145182,0.5680860028253382,HOLD,0.0,0,0
2021-01-04 12:00:00+00:00,300.0,-0.46396553570068616,0.5490414647823131,HOLD,0.0,0,0
2021-01-04 13:00:00+00:00,300.0,0.4735103829722641,0.5037533578666668,HOLD,0.0,0,0
2021-01-04 14:00:00+00:00,300.0,1.3430688755971838,0.5316905898168831,HOLD,0.0,0,0
2021-01-04 15:00:00+00:00,300.0,1.6355223552725946,0.48985241053493683,HOLD,0.0,0,0
2021-01-04 16:00:00+00:00,300.0,1.2125245283285486,0.5232979041240272,HOLD,0.0,0,0
2021-01-04 17:00:00+00:00,300.0,0.46064439910394867,0.4949417707529256,HOLD,0.0,0,0
2021-01-04 18:00:00+00:00,300.0,-0.4038784428520454,0.47721437638630554,HOLD,0.0,0,0
2021-01-04 19:00:00+00:00,300.0,-0.3221640112711672,0.4781136938632646,HOLD,0.0,0,0
2021-01-04 20:00:00+00:00,300.0,0.011794286101475523,0.46883097848680294,HOLD,0.0,0,0
2021-01-04 21:00:00+00:00,300.0,-0.8047482191087234,0.47595169780834223,HOLD,0.0,0,0
2021-01-04 22:00:00+00:00,300.0,-1.0551708727482696,0.46301101921187754,HOLD,0.0,0,0
2021-01-04 23:00:00+00:00,300.0,-0.8533857272697762,0.4901397817922079,HOLD,0.0,0,0
2021-01-05 00:00:00+00:00,300.0,-0.9850413082874623,0.5310381031957951,HOLD,0.0,0,0
2021-01-05 01:00:00+00:00,300.0,1.7205881305222928,0.4742149657983365,HOLD,0.0,0,0
