timestamp,trainer,module,returncode,cmd,stdout,stderr,timeframe,format,tz,symbols,base,target,start_date,end_date,results_csv,params,best_model,best_score,pos,total,pos_pct,lr_score,xgb_score,lgbm_score,lr_thr,xgb_thr,lgbm_thr
20250909T040408Z,pairs_training,src.models.pairs_training,0,"python -m src.models.pairs_training --timeframe 15m --format parquet --start_date 2021-01-01 --end_date 2025-09-01 --symbols BTCUSDC,LTCUSDC --window 50 --horizon 5 --log_results src/data/training_logs/pairs_results.csv",logs/20250909T040408Z_pairs_training.log,logs/20250909T040408Z_pairs_training.err,15m,parquet,,,,,2021-01-01,2025-09-01,src/data/training_logs/pairs_results.csv,tf=15m fmt=parquet dates=2021-01-01..2025-09-01 horizon=5 window=50,pairs_lr,0.6852,17486,32712,53.45,0.6852,,,,,
20250909T040703Z,pairs_training,src.models.pairs_training,0,"python -m src.models.pairs_training --timeframe 1h --format parquet --start_date 2021-01-01 --end_date 2025-09-01 --symbols BTCUSDC,LTCUSDC --window 2 --horizon 1 --log_results src/data/training_logs/pairs_results.csv",logs/20250909T040703Z_pairs_training.log,logs/20250909T040703Z_pairs_training.err,1h,parquet,,,,,2021-01-01,2025-09-01,src/data/training_logs/pairs_results.csv,tf=1h fmt=parquet dates=2021-01-01..2025-09-01 horizon=1 window=2,pairs_lr,0.5391,4109,8177,50.25,0.5391,,,,,
